Reaction ID,Name,Reaction equation,Gene
rxn10237_c0,isohexadecanoyl_phosphatidylserine_decarboxylase_c0,2.0 H_c0 + Diisohexadecanoylphosphatidylserine_c0 <=> CO2_c0 + Diisohexadecanoylphosphatidylethanolamine_c0,From ModelSEED
rxn01044_c0,D_xylose_aldose_ketose_isomerase_c0,Xylose_c0 <=> D_Lyxulose_c0,From ModelSEED
rxn10011_c0,acyl_CoA_dehydrogenase_octanoyl_CoA_c0,NADH_c0 + H_c0 + 2E_Octenoyl_CoA_c0 --> NAD_c0 + Octanoyl_CoA_c0,From ModelSEED
rxn12644_c0,methionyl_aminopeptidase_c0,H2O_c0 + ala_L_Thr_L_c0 <=> L_Alanine_c0 + L_Threonine_c0,From ModelSEED
rxn00147_c0,ATP_pyruvate_water_phosphotransferase_c0,H2O_c0 + ATP_c0 + Pyruvate_c0 --> Phosphate_c0 + AMP_c0 + Phosphoenolpyruvate_c0 + 3.0 H_c0,From ModelSEED
rxn00737_c0,L_threonine_ammonia_lyase_2_oxobutanoate_forming_c0,L_Threonine_c0 --> NH3_c0 + 2_Oxobutyrate_c0,From ModelSEED
rxn04723_c0,R06914_c0,H2O_c0 + NAD_c0 + 3_Methylsalicylaldehyde_c0 <=> NADH_c0 + 2.0 H_c0 + 3_Methylsalicylate_c0,From ModelSEED
rxn01629_c0,S_4_Amino_5_oxopentanoate_4_5_aminomutase_c0,5_Aminolevulinate_c0 <=> L_Glutamate1_semialdehyde_c0,From ModelSEED
rxn00777_c0,D_ribose_5_phosphate_aldose_ketose_isomerase_c0,ribose_5_phosphate_c0 <=> D_Ribulose5_phosphate_c0,From ModelSEED
rxn13784_c0,RNA_transcription_c0, --> RNA_transcription_c0,From ModelSEED
rxn01740_c0,Shikimate_NADP_3_oxidoreductase_c0,NADP_c0 + Shikimate_c0 <=> NADPH_c0 + H_c0 + 3_Dehydroshikimate_c0,From ModelSEED
rxn05533_c0,oligopeptide_transporting_ATPase_c0,H2O_c0 + ATP_c0 + ala_L_asp_L_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + ala_L_asp_L_c0,From ModelSEED
rxn02314_c0,ATP_D_tagatose_6_phosphate_1_phosphotransferase_c0,ATP_c0 + D_Tagatose_6_phosphate_c0 <=> ADP_c0 + H_c0 + D_Tagatose_1_6_biphosphate_c0,From ModelSEED
rxn02275_c0,4_Guanidinobutanamide_amidohydrolase_c0,H2O_c0 + 4_Guanidinobutanamide_c0 --> NH3_c0 + 4_Guanidinobutanoate_c0,From ModelSEED
rxn00927_c0,Adenosine_ribohydrolase_c0,H2O_c0 + Adenosine_c0 <=> D_Ribose_c0 + Adenine_c0,From ModelSEED
rxn00251_c0,phosphate_oxaloacetate_carboxy_lyase_adding_phosphatephosphoenolpyruvate_forming_c0,H2O_c0 + CO2_c0 + Phosphoenolpyruvate_c0 --> Phosphate_c0 + Oxaloacetate_c0 + H_c0,From ModelSEED
rxn00139_c0,AMP_diphosphate_phospho_D_ribosyltransferase_c0,PRPP_c0 + Adenine_c0 --> PPi_c0 + AMP_c0 + H_c0,From ModelSEED
rxn00920_c0,Guanosine_3_5_cyclic_phosphate_5_nucleotidohydrolase_c0,H2O_c0 + cGMP_c0 <=> H_c0 + GMP_c0,From ModelSEED
rxn00790_c0,5_phosphoribosylamine_diphosphate_phospho_alpha_D_ribosyltransferase_glutamate_amidating_c0,H2O_c0 + L_Glutamine_c0 + PRPP_c0 --> PPi_c0 + L_Glutamate_c0 + H_c0 + 5_Phosphoribosylamine_c0,From ModelSEED
