Reaction ID,Name,Reaction equation,Gene
rxn01489_c0,Geranylgeranyl_diphosphate_geranylgeranyl_diphosphate_geranylgeranyltransferase_c0,2.0 Geranylgeranyl_diphosphate_c0 --> PPi_c0 + H_c0 + Prephytoene_diphosphate_c0,From ModelSEED
rxn03540_c0,R05225_c0,4.0 H2O_c0 + 4.0 ATP_c0 + 4.0 L_Glutamine_c0 + Adenosyl_cobyrinate_diamide_c0 <=> 4.0 ADP_c0 + 4.0 Phosphate_c0 + 4.0 L_Glutamate_c0 + 4.0 H_c0 + Adenosylcobyric_acid_c0,From ModelSEED
rxn08311_c0,CDP_diacylglycerol_synthetase_n_C18_0_c0,CTP_c0 + 1_2_dioctadecanoyl_sn_glycerol_3_phosphate_c0 <=> PPi_c0 + H_c0 + CDP_1_2_dioctadecanoylglycerol_c0,From ModelSEED
rxn03175_c0,N_5_Phospho_D_ribosylformimino_5_amino_1__5_phospho_D_ribosyl_4_imidazolecarboxamide_ketol_isomerase_c0,H_c0 + phosphoribosylformiminoaicar_phosphate_c0 <=> phosphoribulosylformimino_AICAR_phosphate_c0,From ModelSEED
rxn10264_c0,isohexadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase_c0,Glycerol_3_phosphate_c0 + CDP_1_2_diisohexadecanoylglycerol_c0 <=> CMP_c0 + Diisohexadecanoylphosphatidylglycerophosphate_c0,From ModelSEED
rxn03421_c0,2_5_Diaminopyrimidine_nucleoside_triphosphate_mutase_c0,2_5_Diaminopyrimidine_nucleoside_triphosphate_c0 <=> 2_5_Diamino_6_5_triphosphoryl_3_4_trihydroxy_2_oxopentyl__amino_4_oxopyrimidine_c0,From ModelSEED
rxn10227_c0,anteisoheptadecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0,L_Serine_c0 + CDP_1_2_dianteisoheptadecanoylglycerol_c0 --> CMP_c0 + 2.0 H_c0 + Dianteisoheptadecanoylphosphatidylserine_c0,From ModelSEED
rxn01023_c0,formamide_hydro_lyase_cyanide_forming_c0,Formamide_c0 <=> H2O_c0 + HCN_c0,From ModelSEED
rxn05336_c0,3R_3_Hydroxypalmitoyl_acyl_carrier_protein_NADP_oxidoreductase_c0,NADP_c0 + R_3_hydroxypalmitoyl_acyl_carrierprotein__c0 <=> NADPH_c0 + 3_oxohexadecanoyl_acp_c0,From ModelSEED
rxn09210_c0,Phosphatidylserine_syntase_n_C18_0_c0,L_Serine_c0 + CDP_1_2_dioctadecanoylglycerol_c0 --> CMP_c0 + 2.0 H_c0 + phosphatidylserine_dioctadecanoyl_c0,From ModelSEED
rxn00162_c0,oxaloacetate_carboxy_lyase_pyruvate_forming_c0,Oxaloacetate_c0 + H_c0 --> CO2_c0 + Pyruvate_c0,From ModelSEED
rxn00285_c0,Succinate_CoA_ligase_ADP_forming_c0,ATP_c0 + CoA_c0 + Succinate_c0 <=> ADP_c0 + Phosphate_c0 + Succinyl_CoA_c0,From ModelSEED
rxn07584_c0,ATP_lipoate_adenylyltransferase_c0,ATP_c0 + Lipoate_c0 <=> PPi_c0 + Lipoyl_AMP_c0,From ModelSEED
rxn00182_c0,L_glutamate_NAD_oxidoreductase_deaminating_c0,H2O_c0 + NAD_c0 + L_Glutamate_c0 <=> NADH_c0 + NH3_c0 + 2_Oxoglutarate_c0 + H_c0,From ModelSEED
rxn05567_c0,Galactitol_transport_via_PEP_Pyr_PTS_c0,Phosphoenolpyruvate_c0 + Dulcose_e0 <=> Pyruvate_c0 + Galactitol_1_phosphate_c0,From ModelSEED
rxn02181_c0,3_Hydroxypropionyl_CoA_hydro_lyase_c0,3_Hydroxypropanoyl_CoA_c0 <=> H2O_c0 + Acrylyl_CoA_c0,From ModelSEED
rxn00532_c0,3_oxopropanoate_NADP_oxidoreductase_CoA_malonylating_c0,NADP_c0 + CoA_c0 + 3_Oxopropanoate_c0 <=> NADPH_c0 + H_c0 + Malonyl_CoA_c0,From ModelSEED
rxn05172_c0,ATP_phosphohydrolase_taurine_importing_c0,H2O_c0 + ATP_c0 + Taurine_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Taurine_c0,From ModelSEED
rxn01642_c0,4_imidazolone_5_propanoate_amidohydrolase_c0,H2O_c0 + H_c0 + 4_Imidazolone_5_propanoate_c0 --> N_Formimino_L_glutamate_c0,From ModelSEED
rxn00132_c0,Adenosine_5_monophosphate_phosphohydrolase_c0,H2O_c0 + AMP_c0 --> Phosphate_c0 + Adenosine_c0,From ModelSEED
rxn01204_c0,4_aminobutanoate_2_oxoglutarate_aminotransferase_c0,2_Oxoglutarate_c0 + GABA_c0 <=> L_Glutamate_c0 + 4_Oxobutanoate_c0,From ModelSEED
rxn04052_c0,R05814_c0,2.0 H_c0 + Cobalt_precorrin_8_c0 <=> Cobyrinate_c0,From ModelSEED
rxn02819_c0,S_Adenosyl_L_methionine_16_methoxy_2_3_dihydro_3_hydroxytabersonine_N_methyltransferase_c0,S_Adenosyl_L_methionine_c0 + 16_Methoxy_2_3_dihydro_3_hydroxytabersonine_c0 <=> S_Adenosyl_homocysteine_c0 + H_c0 + Deacetoxyvindoline_c0,From ModelSEED
rxn00712_c0,UTP_uridine_5_phosphotransferase_c0,UTP_c0 + Uridine_c0 <=> UDP_c0 + H_c0 + UMP_c0,From ModelSEED
rxn12850_c0,Gly_Phe_ABC_transporters_c0,H2O_c0 + ATP_c0 + Gly_Phe_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Gly_Phe_c0,From ModelSEED
rxn00126_c0,ATP_L_methionine_S_adenosyltransferase_c0,H2O_c0 + ATP_c0 + L_Methionine_c0 --> Phosphate_c0 + PPi_c0 + S_Adenosyl_L_methionine_c0 + H_c0,From ModelSEED
rxn01518_c0,ATP_deoxyuridine_5_phosphotransferase_c0,ATP_c0 + Deoxyuridine_c0 <=> ADP_c0 + H_c0 + dUMP_c0,From ModelSEED
rxn12844_c0,Gly_Cys_aminopeptidase_c0,H2O_c0 + Gly_Cys_c0 <=> Glycine_c0 + L_Cysteine_c0,From ModelSEED
rxn09988_c0,alpha_N_arabinofuranosidase_c0,2.0 H2O_c0 + Arabinan_c0 --> 3.0 L_Arabinose_c0,From ModelSEED
rxn05175_c0,spermidine_transport_via_ABC_system_c0,H2O_c0 + ATP_c0 + Spermidine_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Spermidine_c0,From ModelSEED
rxn09244_c0,selenophosphate_L_seryl_tRNASec_selenium_transferase_c0,H_c0 + Selenophosphate_c0 + L_Seryl_tRNASec_c0 <=> Phosphate_c0 + L_Selenocysteinyl_tRNASec_c0,From ModelSEED
rxn00058_c0,Ferrocytochrome_c_oxygen_oxidoreductase_c0,O2_c0 + 4.0 H_c0 + 4.0 Cytochrome_c2_c0 --> 2.0 H2O_c0 + 4.0 Cytochrome_c3_c0,From ModelSEED
rxn08306_c0,CDP_diacylglycerol_synthetase_n_C12_0_c0,CTP_c0 + 1_2_didodecanoyl_sn_glycerol_3_phosphate_c0 <=> PPi_c0 + H_c0 + CDP_1_2_didodecanoylglycerol_c0,From ModelSEED
rxn00206_c0,superoxide_superoxide_oxidoreductase_c0,2.0 H_c0 + 2.0 O2__c0 --> O2_c0 + H2O2_c0,From ModelSEED
rxn01871_c0,acetyl_CoA_enzyme_N6_dihydrolipoyllysine_S_acetyltransferase_c0,Acetyl_CoA_c0 + Dihydrolipoamide_c0 <=> CoA_c0 + S_Acetyldihydrolipoamide_c0,From ModelSEED
rxn05340_c0,3R_3_Hydroxydodecanoyl_acyl_carrier_protein_NADP_oxidoreductase_c0,NADP_c0 + D_3_Hydroxydodecanoyl_acp_c0 <=> NADPH_c0 + 3_oxododecanoyl_acp_c0,From ModelSEED
rxn00484_c0,L_Tryptophan_decarboxy_lyase_c0,L_Tryptophan_c0 + H_c0 --> CO2_c0 + Tryptamine_c0,From ModelSEED
rxn01169_c0,ATP_beta_D_glucose_6_phosphotransferase_c0,ATP_c0 + beta_D_Glucose_c0 <=> ADP_c0 + H_c0 + beta_D_Glucose_6_phosphate_c0,From ModelSEED
rxn00299_c0,GTP_7_8_8_9_dihydrolase_c0,H2O_c0 + GTP_c0 --> Formate_c0 + H_c0 + 7_8_Dihydroneopterin_3_triphosphate_c0,From ModelSEED
rxn00756_c0,Choline_sulfate_sulfohydrolase_c0,H2O_c0 + Choline_sulfate_c0 --> Sulfate_c0 + H_c0 + Choline_c0,From ModelSEED
rxn05389_c0,7_methyl_3_oxo_octanoyl_ACP_NADP_oxidoreductase_c0,NADPH_c0 + H_c0 + 7_methyl_3_oxo_octanoyl_ACP_c0 <=> NADP_c0 + 7_methyl_3_hydroxy_octanoyl_ACP_c0,From ModelSEED
rxn04737_c0,R06928_c0,H2O_c0 + NAD_c0 + 2_Naphthaldehyde_c0 <=> NADH_c0 + 2.0 H_c0 + 2_Naphthoic_acid_c0,From ModelSEED
rxn05735_c0,aldehyde_dehydrogenase_aminoacetaldehyde__NAD_c0,H2O_c0 + NAD_c0 + Aminoacetaldehyde_c0 --> NADH_c0 + Glycine_c0 + 2.0 H_c0,From ModelSEED
rxn03921_c0,R05649_c0,H2O_c0 + NAD_c0 + 1_Hydroxy_2_naphthaldehyde_c0 <=> NADH_c0 + 2.0 H_c0 + 1_Hydroxy_2_naphthoate_c0,From ModelSEED
rxn01008_c0,UDP_glucuronate_4_epimerase_c0,UDPglucuronate_c0 <=> UDPgalacturonate_c0,From ModelSEED
rxn02916_c0,R04175_c0,2_Oxo_6_aminocaproate_c0 --> H2O_c0 + H_c0 + delta1_Piperideine_2_carboxylate_c0,Unknown
rxn03618_c0,formaldehyde_NAD_oxidoreductase_mycothiol_formylating_c0,NAD_c0 + Formaldehyde_c0 + Mycothiol_c0 <=> NADH_c0 + H_c0 + S_Formylmycothiol_c0,From ModelSEED
rxn01133_c0,Acetyl_CoA_maltose_O_acetyltransferase_c0,Acetyl_CoA_c0 + Maltose_c0 --> CoA_c0 + Acetyl_maltose_c0,From ModelSEED
rxn12639_c0,RXN0_6976c_c0,H2O_c0 + Ala_Gln_c0 <=> L_Alanine_c0 + L_Glutamine_c0,From ModelSEED
rxn01000_c0,prephenate_hydro_lyase_decarboxylating_phenylpyruvate_forming_c0,H_c0 + Prephenate_c0 --> H2O_c0 + CO2_c0 + Phenylpyruvate_c0,From ModelSEED
rxn03397_c0,UDP_L_rhamnose_flavonol_3_O_D_glucoside_L_rhamnosyltransferase_c0,S_Adenosyl_L_methionine_c0 + 2_Octaprenyl_6_methoxy_1_4_benzoquinone_c0 --> S_Adenosyl_homocysteine_c0 + H_c0 + 2_Octaprenyl_3_methyl_6_methoxy_1_4_benzoquinone_c0,From ModelSEED
rxn00363_c0,Cytidine_5_monophosphate_phosphohydrolase_c0,H2O_c0 + CMP_c0 --> Phosphate_c0 + Cytidine_c0,From ModelSEED
rxn08128_c0,Amylomaltase_maltopentaose_c0,Maltose_c0 + Maltopentaose_c0 <=> D_Glucose_c0 + Maltohexaose_c0,From ModelSEED
rxn01670_c0,Nicotinamide_ribonucleotide_phosphohydrolase_c0,H2O_c0 + Nicotinamide_ribonucleotide_c0 --> Phosphate_c0 + N_Ribosylnicotinamide_c0,From ModelSEED
rxn12643_c0,RXN0_6979c_c0,H2O_c0 + Ala_Leu_c0 --> L_Alanine_c0 + L_Leucine_c0,From ModelSEED
rxn01706_c0,dUTP_cytidine_5_phosphotransferase_c0,dUTP_c0 + Cytidine_c0 <=> CMP_c0 + H_c0 + dUDP_c0,From ModelSEED
rxn01300_c0,ATP_L_homoserine_O_phosphotransferase_c0,ATP_c0 + L_Homoserine_c0 <=> ADP_c0 + H_c0 + O_Phospho_L_homoserine_c0,From ModelSEED
rxn03484_c0,3E_4_2_hydroxyphenyl_2_oxobut_3_enoate_hydro_lyase_c0,Pyruvate_c0 + Salicylaldehyde_c0 <=> H2O_c0 + trans_O_Hydroxybenzylidenepyruvate_c0,From ModelSEED
rxn02334_c0,3_5_Cyclic_nucleotide_5_nucleotidohydrolase_c0,H2O_c0 + 3_5_Cyclic_nucleotide_c0 <=> Nucleoside_5_phosphate_c0,From ModelSEED
rxn14054_c0,trans_3_Chloro_2_propene_1_ol_NAD_oxidoreductase_c0,NAD_c0 + trans_3_Chloro_2_propene_1_ol_c0 <=> NADH_c0 + H_c0 + 3_Chloroallyl_aldehyde_c0,From ModelSEED
rxn03012_c0,R04336_c0,L_2_Amino_6_oxopimelate_c0 --> H2O_c0 + H_c0 + tetrahydrodipicolinate_c0,Unknown
rxn09197_c0,Phosphatidylserine_decarboxylase_n_C12_0_c0,2.0 H_c0 + phosphatidylserine_didodecanoyl_c0 <=> CO2_c0 + phosphatidylethanolamine_didodecanoyl_c0,From ModelSEED
rxn01100_c0,ATP_3_phospho_D_glycerate_1_phosphotransferase_c0,ATP_c0 + 3_Phosphoglycerate_c0 <=> ADP_c0 + 1_3_Bisphospho_D_glycerate_c0,From ModelSEED
rxn00838_c0,IMP_L_aspartate_ligase_GDP_forming_c0,GTP_c0 + L_Aspartate_c0 + IMP_c0 --> Phosphate_c0 + GDP_c0 + 2.0 H_c0 + Adenylosuccinate_c0,From ModelSEED
rxn08707_c0,protoheme_IX_farnesyltransferase_c0,H2O_c0 + Heme_c0 + Farnesyldiphosphate_c0 <=> PPi_c0 + H_c0 + hemeO_c0,From ModelSEED
rxn00102_c0,carbonate_hydro_lyase_carbon_dioxide_forming_c0,H_c0 + H2CO3_c0 <=> H2O_c0 + CO2_c0,From ModelSEED
rxn03287_c0,3alpha_7alpha_24_trihydroxy_5beta_cholestanoyl_CoA_NAD_oxidoreductase_c0,NAD_c0 + 3alpha_7alpha_24_Trihydroxy_5beta_cholestanoyl_CoA_c0 <=> NADH_c0 + H_c0 + 3alpha_7alpha_Dihydroxy_5beta_24_oxocholestanoyl_CoA_c0,From ModelSEED
rxn03085_c0,5_10_Methylenetetrahydromethanopterin_coenzyme_F420_oxidoreductase_c0,Reduced_coenzyme_F420_c0 + 5_10_Methylenetetrahydromethanopterin_c0 <=> Coenzyme_F420_c0 + 5_Methyl_H4MPT_c0,From ModelSEED
rxn00831_c0,Inosine_5_monophosphate_phosphohydrolase_c0,H2O_c0 + IMP_c0 --> Phosphate_c0 + Inosine_c0,From ModelSEED
rxn00748_c0,glycerone_phosphate_phosphate_lyase_methylglyoxal_forming_c0,Glycerone_phosphate_c0 --> Phosphate_c0 + 2_Oxopropanal_c0,From ModelSEED
rxn12634_c0,methionyl_aminopeptidase_c0,H2O_c0 + gly_glu_L_c0 <=> L_Glutamate_c0 + Glycine_c0,From ModelSEED
rxn00883_c0,1D_myo_Inositol_3_phosphate_phosphohydrolase_c0,H2O_c0 + Inositol_3_phosphate_c0 --> Phosphate_c0 + L_Inositol_c0,From ModelSEED
rxn01255_c0,5_O_1_Carboxyvinyl_3_phosphoshikimate_phosphate_lyase_chorismate_forming_c0,5_O__1_Carboxyvinyl_3_phosphoshikimate_c0 --> Phosphate_c0 + Chorismate_c0,From ModelSEED
rxn05872_c0,Secondary_c0,NAD_c0 + Secondary_alcohol_c0 <=> NADH_c0 + H_c0 + Ketone_c0,From ModelSEED
rxn10014_c0,acyl_CoA_dehydrogenase_tetradecanoyl_CoA_c0,NADH_c0 + H_c0 + 2E_Tetradecenoyl_CoA_c0 --> NAD_c0 + Myristoyl_CoA_c0,From ModelSEED
rxn04727_c0,R06918_c0,H2O_c0 + NAD_c0 + 1_Naphthaldehyde_c0 <=> NADH_c0 + 2.0 H_c0 + 1_Naphthoic_acid_c0,From ModelSEED
rxn00776_c0,uracil_hydro_lyase_adding_D_ribose_5_phosphatepseudouridine_5_phosphate_forming_c0,Uracil_c0 + ribose_5_phosphate_c0 --> H2O_c0 + Pseudouridine_5_phosphate_c0,From ModelSEED
rxn05251_c0,FACOAL170anteiso_c0,ATP_c0 + CoA_c0 + fa12_c0 --> PPi_c0 + AMP_c0 + fa12coa_c0,From ModelSEED
rxn14089_c0,cis_3_chloro_2_propene_1_ol_NAD_oxidoreductase_c0,NAD_c0 + cis_3_Chloro_2_propene_1_ol_c0 <=> NADH_c0 + H_c0 + cis_3_Chloroallyl_aldehyde_c0,From ModelSEED
rxn00214_c0,UDP_glucose_4_epimerase_c0,UDP_glucose_c0 <=> UDP_galactose_c0,From ModelSEED
rxn01211_c0,5_10_Methenyltetrahydrofolate_5_hydrolase_decyclizing_c0,H2O_c0 + 5_10_Methenyltetrahydrofolate_c0 <=> H_c0 + 10_Formyltetrahydrofolate_c0,From ModelSEED
rxn00527_c0,L_tyrosine_2_oxoglutarate_aminotransferase_c0,2_Oxoglutarate_c0 + L_Tyrosine_c0 <=> L_Glutamate_c0 + p_hydroxyphenylpyruvate_c0,From ModelSEED
rxn12848_c0,Gly_Cys_ABC_transporters_c0,H2O_c0 + ATP_c0 + Gly_Cys_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Gly_Cys_c0,From ModelSEED
rxn13782_c0,Protein_biosynthesis_c0, --> Protein_biosynthesis_c0,From ModelSEED
rxn04270_c0,cis_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0,H2O_c0 + NAD_c0 + cis_2_Methyl_5_isopropylhexa_2_5_dienal_c0 <=> NADH_c0 + 2.0 H_c0 + cis_2_Methyl_5_isopropylhexa_2_5_dienoic_acid_c0,From ModelSEED
rxn05430_c0,14_methyl_3_oxo_pentadecanoyl_ACP_NADP_oxidoreductase_c0,NADPH_c0 + H_c0 + 14_methyl_3_oxo_pentadecanoyl_ACP_c0 <=> NADP_c0 + 14_methyl_3_hydroxy_pentadecanoyl_ACP_c0,From ModelSEED
rxn06099_c0,Steryl_ester_acylhydrolase_c0,H2O_c0 + Steryl_ester_c0 <=> Carboxylic_acid_c0 + H_c0 + Sterol_c0,From ModelSEED
rxn11838_c0,4_hydroxy_5_phenyltetrahydro_1_3_oxazin_2_one_NAD_oxidoreductase_c0,NAD_c0 + 4_Hydroxy_5_phenyltetrahydro_1_3_oxazin_2_one_c0 <=> NADH_c0 + H_c0 + 5_Phenyl_1_3_oxazinane_2_4_dione_c0,From ModelSEED
rxn01917_c0,ATP_N_acetyl_L_glutamate_5_phosphotransferase_c0,ATP_c0 + N_Acetyl_L_glutamate_c0 <=> ADP_c0 + n_acetylglutamyl_phosphate_c0,From ModelSEED
rxn10236_c0,anteisopentadecanoyl_phosphatidylserine_decarboxylase_c0,2.0 H_c0 + Dianteisopentadecanoylphosphatidylserine_c0 <=> CO2_c0 + Dianteisopentadecanoylphosphatidylethanolamine_c0,From ModelSEED
rxn08527_c0,fumarate_reductase_c0,Fumarate_c0 + Menaquinol_8_c0 <=> Succinate_c0 + Menaquinone_8_c0,From ModelSEED
rxn08528_c0,fumarate_reductase_c0,Fumarate_c0 + 2_Demethylmenaquinol_8_c0 <=> Succinate_c0 + 2_Demethylmenaquinone_8_c0,From ModelSEED
rxn04659_c0,RXN_5184c_c0,L_Glutamate_c0 + N2_Acetyl_L_aminoadipate_semialdehyde_c0 <=> 2_Oxoglutarate_c0 + N2_Acetyl_L_lysine_c0,From ModelSEED
rxn01145_c0,Thymidylate_5_phosphohydrolase_c0,H2O_c0 + dTMP_c0 --> Phosphate_c0 + Thymidine_c0,From ModelSEED
rxn07586_c0,cobalt_precorrin_5A_acylhydrolase_c0,H2O_c0 + Cobalt_precorrin_5_c0 <=> Acetaldehyde_c0 + Cobalt_precorrin_5B_c0,From ModelSEED
rxn09205_c0,Phosphatidylserine_syntase_n_C12_0_c0,L_Serine_c0 + CDP_1_2_didodecanoylglycerol_c0 --> CMP_c0 + 2.0 H_c0 + phosphatidylserine_didodecanoyl_c0,From ModelSEED
rxn05163_c0,putrescine_transport_via_ABC_system_c0,H2O_c0 + ATP_c0 + Putrescine_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Putrescine_c0,From ModelSEED
rxn05364_c0,6_methyl_3_oxo_octanoyl_ACP_NADP_oxidoreductase_c0,NADPH_c0 + H_c0 + 6_methyl_3_oxo_octanoyl_ACP_c0 <=> NADP_c0 + 6_methyl_3_hydroxy_octanoyl_ACP_c0,From ModelSEED
rxn09201_c0,Phosphatidylserine_decarboxylase_n_C16_1_c0,2.0 H_c0 + phosphatidylserine_dihexadec_9_enoyl_c0 <=> CO2_c0 + phosphatidylethanolamine_dihexadec_9enoyl_c0,From ModelSEED
rxn05202_c0,TRANS_RXN_206ce_c0,H_e0 + XAN_e0 <=> H_c0 + XAN_c0,From ModelSEED
rxn00508_c0,Succinate_semialdehyde_NAD_oxidoreductase_c0,H2O_c0 + NAD_c0 + 4_Oxobutanoate_c0 --> NADH_c0 + Succinate_c0 + 2.0 H_c0,From ModelSEED
rxn10122_c0,NADH_dehydrogenase_ubiquinone_8__35_protons_c0,NADH_c0 + 4.5 H_c0 + Ubiquinone_8_c0 <=> NAD_c0 + 3.5 H_e0 + Ubiquinol_8_c0,From ModelSEED
rxn05547_c0,oligopeptide_transporting_ATPase_c0,H2O_c0 + ATP_c0 + Gly_Gln_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + Gly_Gln_c0,From ModelSEED
rxn00187_c0,L_Glutamate_ammonia_ligase_ADP_forming_c0,ATP_c0 + NH3_c0 + L_Glutamate_c0 --> ADP_c0 + Phosphate_c0 + L_Glutamine_c0 + H_c0,From ModelSEED
rxn00376_c0,N_Formyl_L_aspartate_amidohydrolase_c0,H2O_c0 + N_Formyl_L_aspartate_c0 <=> L_Aspartate_c0 + Formate_c0,From ModelSEED
rxn05734_c0,aldehyde_dehydrogenase_glyoxylate__NAD_c0,H2O_c0 + NAD_c0 + Glyoxalate_c0 <=> NADH_c0 + 2.0 H_c0 + Oxalate_c0,From ModelSEED
rxn00772_c0,ATP_D_ribose_5_phosphotransferase_c0,ATP_c0 + D_Ribose_c0 <=> ADP_c0 + H_c0 + ribose_5_phosphate_c0,From ModelSEED
rxn02229_c0,3_Mercaptopyruvate_cyanide_sulfurtransferase_c0,Sulfite_c0 + Mercaptopyruvate_c0 <=> Pyruvate_c0 + H2S2O3_c0,From ModelSEED
rxn00006_c0,hydrogen_peroxide_hydrogen_peroxide_oxidoreductase_c0,2.0 H2O2_c0 --> 2.0 H2O_c0 + O2_c0,From ModelSEED
rxn05338_c0,3R_3_Hydroxydecanoyl_acyl_carrier_protein_NADP_oxidoreductase_c0,NADP_c0 + R_3_Hydroxydecanoyl_acyl_carrier_protein_c0 <=> NADPH_c0 + H_c0 + 3_oxodecanoyl_acp_c0,From ModelSEED
rxn02262_c0,ATP_6_deoxy_L_galactose_1_phosphotransferase_c0,ATP_c0 + L_Fucose_c0 <=> ADP_c0 + H_c0 + L_Fucose_1_phosphate_c0,From ModelSEED
rxn03135_c0,R04558_c0,L_Glutamine_c0 + phosphoribulosylformimino_AICAR_phosphate_c0 --> L_Glutamate_c0 + 2.0 H_c0 + D_erythro_imidazol_glycerol_phosphate_c0 + AICAR_c0,From ModelSEED
rxn08310_c0,CDP_diacylglycerol_synthetase_n_C16_1_c0,CTP_c0 + 1_2_dihexadec_9_enoyl_sn_glycerol_3_phosphate_c0 <=> PPi_c0 + H_c0 + CDP_1_2_dihexadec_9_enoylglycerol_c0,From ModelSEED
rxn00915_c0,GMP_diphosphate_5_phospho_alpha_D_ribosyltransferase_c0,PRPP_c0 + Guanine_c0 --> PPi_c0 + H_c0 + GMP_c0,From ModelSEED
rxn02853_c0,Imidazole_acetaldehyde_NAD_oxidoreductase_c0,H2O_c0 + NAD_c0 + Imidazole_acetaldehyde_c0 --> NADH_c0 + 2.0 H_c0 + 4_Imidazoleacetate_c0,From ModelSEED
rxn01515_c0,dTTP_cytidine_5_phosphotransferase_c0,TTP_c0 + Cytidine_c0 <=> CMP_c0 + H_c0 + dTDP_c0,From ModelSEED
rxn06752_c0,R04634_c0,H2O_c0 + GM2_c0 <=> Neu5Ac_c0 + GA2_c0,From ModelSEED
rxn03462_c0,Gal_beta1_3GalNAc_beta1_4Gal_beta1_4Glc_beta1_1Cer_galactohydrolase_c0,H2O_c0 + GA1_c0 <=> Galactose_c0 + GA2_c0,From ModelSEED
rxn10224_c0,anteisopentadecanoyl_phosphatidate_cytidylyltransferase_c0,CTP_c0 + 1_2_dianteisopentadecanoyl_sn_glycerol_3_phosphate_c0 <=> PPi_c0 + H_c0 + CDP_1_2_dianteisopentadecanoylglycerol_c0,From ModelSEED
rxn05337_c0,3R_3_Hydroxyhexanoyl_acyl_carrier_protein_NADP_oxidoreductase_c0,NADP_c0 + D_3_Hydroxyhexanoyl_acp_c0 <=> NADPH_c0 + 3_Oxohexanoyl_acp_c0,From ModelSEED
rxn01135_c0,Oxalate_CoA_ligase_AMP_forming_c0,ATP_c0 + CoA_c0 + Oxalate_c0 <=> PPi_c0 + AMP_c0 + Oxalyl_CoA_c0,From ModelSEED
rxn05893_c0,Ammonia_ferredoxin_oxidoreductase_c0,2.0 H2O_c0 + NH3_c0 + 6.0 Oxidizedferredoxin_c0 --> 8.0 H_c0 + Nitrite_c0 + 6.0 Reducedferredoxin_c0,From ModelSEED
rxn01653_c0,5_Formyltetrahydrofolate_cyclo_ligase_ADP_forming_c0,ATP_c0 + 5_Formyltetrahydrofolate_c0 --> ADP_c0 + Phosphate_c0 + 5_10_Methenyltetrahydrofolate_c0,From ModelSEED
rxn00474_c0,L_serine_hydro_lyase_adding_indole_L_tryptophan_forming_c0,L_Serine_c0 + indol_c0 --> H2O_c0 + L_Tryptophan_c0,From ModelSEED
rxn03147_c0,1_5_Phosphoribosyl_5_amino_4_carboxyimidazole_L_aspartate_ligase_ADP_forming_c0,ATP_c0 + L_Aspartate_c0 + 5_Phosphoribosyl_4_carboxy_5_aminoimidazole_c0 --> ADP_c0 + Phosphate_c0 + H_c0 + SAICAR_c0,From ModelSEED
rxn03843_c0,Farnesyl_diphosphate_Isopentenyl_diphosphate_farnesyl_cistransferase_c0,Isopentenyldiphosphate_c0 + Farnesyldiphosphate_c0 --> PPi_c0 + H_c0 + trans_trans_cis_Geranylgeranyl_diphosphate_c0,From ModelSEED
rxn05376_c0,12_methyl_3_oxo_tetra_decanoyl_ACP_NADP_oxidoreductase_c0,NADPH_c0 + H_c0 + 12_methyl_3_oxo_tetra_decanoyl_ACP_c0 <=> NADP_c0 + 12_methyl_3_hydroxy_tetra_decanoyl_ACP_c0,From ModelSEED
rxn01123_c0,ATP_2_dehydro_3_deoxy_D_gluconate_6_phosphotransferase_c0,ATP_c0 + 2_keto_3_deoxygluconate_c0 <=> ADP_c0 + H_c0 + 2_Keto_3_deoxy_6_phosphogluconate_c0,From ModelSEED
rxn08557_c0,glycerol_3_phosphate_dehydrogenase_menaquinone_8_c0,Glycerol_3_phosphate_c0 + Menaquinone_8_c0 --> Glycerone_phosphate_c0 + Menaquinol_8_c0,From ModelSEED
rxn01802_c0,Glutaryl_CoA_acceptor_2_3_oxidoreductase_decarboxylating_c0,FAD_c0 + H_c0 + Glutaryl_CoA_c0 <=> CO2_c0 + Crotonyl_CoA_c0 + FADH2_c0,From ModelSEED
rxn11809_c0,alcophosphamide_NAD_oxidoreductase_c0,NADH_c0 + H_c0 + Aldophosphamide_c0 <=> NAD_c0 + Alcophosphamide_c0,From ModelSEED
rxn04660_c0,RXN_5185c_c0,H2O_c0 + N2_Acetyl_L_lysine_c0 <=> Acetate_c0 + L_Lysine_c0,From ModelSEED
rxn01116_c0,D_Ribulose_5_phosphate_3_epimerase_c0,D_Ribulose5_phosphate_c0 <=> D_Xylulose5_phosphate_c0,From ModelSEED
rxn02182_c0,beta_alanyl_CoA_ammonia_lyase_acryloyl_CoA_forming_c0,beta_Alanyl_CoA_c0 <=> NH3_c0 + Acrylyl_CoA_c0,From ModelSEED
